country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
CHN,China,Yangang Muli County,WRI1072052,120.0,28.165,101.296,Hydro,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=6059,UNFCCC CDM Registry,1074586,,,,,,,,,,254.21,361.76,361.76,441.08,361.76,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
CHN,China,Yangbajain Geothermal,WRI1061455,25.1,30.0973,90.5078,Geothermal,,,,1977.0,,Industry About,https://www.industryabout.com/country-territories-3/1605-china/geothermal-energy/23740-yangbajain-geothermal-power-plant,Industry About,,,,,,,,,,,,,,,110.35,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Yangbajing,WKS0061453,30.0,30.105,90.501,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,56.26,58.66,58.45,58.7,57.88,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Yangcheng power station,WRI1070345,3300.0,35.467,112.5739,Coal,,,,2004.0,Shanxi Datang International Power Generation Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1033605,,,,,,,,,,,,,,16079.87,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Yangdun Small,WRI1071029,10.0,27.1944,118.1844,Hydro,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=1276,UNFCCC CDM Registry,,,,,,,,,,,29.4,35.74,40.22,43.35,33.06,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
CHN,China,Yanggao A,WKS0069534,30.0,39.995,113.889,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,43.94,44.67,43.37,44.57,44.85,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Yanggao B,WKS0069535,25.0,39.999,113.925,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,37.1,37.59,36.51,37.75,37.75,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Yangjia,WKS0065260,82.0,28.365,117.61,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,126.03,130.08,135.91,134.37,131.07,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Yangjia I,WKS0065261,50.0,28.365,117.61,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,76.09,78.56,82.0,81.22,79.28,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Yangjia II,WKS0065262,50.0,28.365,117.61,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,76.09,78.56,82.0,81.22,79.28,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Yangjiadun A,WKS0069973,5.0,32.943,119.522,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,8.6,8.69,8.78,8.85,8.68,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Yangjiang,WRI1061027,4000.0,21.71,112.26,Nuclear,,,,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,,1017829,,,,,,,,,,,,,,29530.38,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Yangjiawan Hydro,WRI1071013,9.0,28.2956,106.1138,Hydro,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=1193,UNFCCC CDM Registry,1071530,,,,,,,,,,27.39,35.19,32.41,39.2,33.12,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
CHN,China,Yangjiayao,WRI1023883,45.0,37.82,106.63,Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,,,,,,,,83.5,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Yangkou,WRI1025924,62.0,32.64,120.91,Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,,,,,,,,115.04,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
